TSAGI SR-5S
       25.       25.

  0.000000  0.000000
  0.005000 -0.010200
  0.012500 -0.015900
  0.025000 -0.022100
  0.050000 -0.030700
  0.075000 -0.036900
  0.100000 -0.041800
  0.150000 -0.048900
  0.200000 -0.054000
  0.250000 -0.057300
  0.300000 -0.059200
  0.350000 -0.059600
  0.400000 -0.060000
  0.450000 -0.058800
  0.500000 -0.056400
  0.550000 -0.052800
  0.600000 -0.048500
  0.650000 -0.043400
  0.700000 -0.037400
  0.750000 -0.030400
  0.800000 -0.022900
  0.850000 -0.015800
  0.900000 -0.009500
  0.950000 -0.004100
  1.000000 -0.000500

  0.000000  0.000000
  0.005000  0.010200
  0.012500  0.015900
  0.025000  0.022100
  0.050000  0.030700
  0.075000  0.036900
  0.100000  0.041800
  0.150000  0.048900
  0.200000  0.054000
  0.250000  0.057300
  0.300000  0.059200
  0.350000  0.059600
  0.400000  0.060000
  0.450000  0.058800
  0.500000  0.056400
  0.550000  0.052800
  0.600000  0.048500
  0.650000  0.043400
  0.700000  0.037400
  0.750000  0.030400
  0.800000  0.022900
  0.850000  0.015800
  0.900000  0.009500
  0.950000  0.004100
  1.000000  0.000500
